"109年01月20日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","8.92","107","11.07","1.38","108/3",
"1102","亞泥","5.75","107","10.73","1.14","108/3",
"1103","嘉泥","4.56","107","10.87","0.65","108/3",
"1104","環泥","5.25","107","12.45","0.70","108/3",
"1108","幸福","0.00","107","-","0.79","108/3",
"1109","信大","4.02","107","6.96","1.04","108/3",
"1110","東泥","0.58","107","857.50","1.15","108/3",
"1201","味全","3.27","107","9.88","1.77","108/3",
"1203","味王","3.65","107","14.89","1.32","108/3",
"1210","大成","4.69","107","14.69","1.87","108/3",
"1213","大飲","0.00","106","-","0.60","108/3",
"1215","卜蜂","4.58","107","14.00","2.39","108/3",
"1216","統一","3.32","107","22.78","4.00","108/3",
"1217","愛之味","0.00","107","43.88","0.62","108/3",
"1218","泰山","3.68","107","19.42","1.62","108/3",
"1219","福壽","0.54","107","68.89","1.57","108/3",
"1220","台榮","4.34","107","18.93","0.84","108/3",
"1225","福懋油","3.39","107","22.79","2.36","108/3",
"1227","佳格","3.53","107","20.03","4.06","108/3",
"1229","聯華","5.44","107","14.85","1.64","108/3",
"1231","聯華食","5.48","107","15.20","2.14","108/3",
"1232","大統益","4.05","107","19.30","5.17","108/3",
"1233","天仁","4.83","107","22.61","2.28","108/3",
"1234","黑松","4.76","107","16.72","0.76","108/3",
"1235","興泰","5.39","107","386.67","0.66","108/3",
"1236","宏亞","2.95","107","84.69","0.90","108/3",
"1256","鮮活果汁-KY","3.00","107","15.60","4.14","108/3",
"1301","台塑","5.86","107","17.28","1.80","108/3",
"1303","南亞","6.87","107","24.85","1.67","108/3",
"1304","台聚","2.21","107","16.19","0.78","108/3",
"1305","華夏","9.16","107","21.17","1.36","108/3",
"1307","三芳","2.16","107","22.43","1.09","108/3",
"1308","亞聚","1.92","107","15.19","0.87","108/3",
"1309","台達化","3.72","107","25.60","0.85","108/3",
"1310","台苯","9.64","107","12.13","1.53","108/3",
"1312","國喬","0.00","107","8.50","0.71","108/3",
"1313","聯成","4.59","107","-","0.71","108/3",
"1314","中石化","11.21","107","17.49","0.38","108/3",
"1315","達新","2.32","107","14.11","1.23","108/3",
"1316","上曜","13.85","107","-","1.33","108/3",
"1319","東陽","3.68","107","13.90","1.27","108/3",
"1321","大洋","0.00","107","250.33","1.64","108/3",
"1323","永裕","5.34","107","10.31","1.53","108/3",
